time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,sunshine_duration,relative_humidity_2m_mean,cloudcover_mean,sunrise,sunset,date,zone,latitude,longitude
2018-01-01,11.900,4.000,8.300,0.300,18.100,31.000,2.840,8654.040,92,77,2018-01-01T07:55,2018-01-01T17:14,2018-01-01,VISEU,40.661,-7.910
2018-01-02,11.900,7.800,10.000,1.400,13.500,24.100,1.140,0.000,97,95,2018-01-02T07:55,2018-01-02T17:15,2018-01-02,VISEU,40.661,-7.910
2018-01-03,14.100,11.600,12.400,0.100,15.300,24.800,2.520,4136.680,97,99,2018-01-03T07:55,2018-01-03T17:16,2018-01-03,VISEU,40.661,-7.910
2018-01-04,13.100,9.700,11.500,1.600,16.100,28.800,3.780,17750.690,94,93,2018-01-04T07:55,2018-01-04T17:17,2018-01-04,VISEU,40.661,-7.910
2018-01-05,10.000,4.200,8.200,17.500,25.400,43.200,1.480,0.000,92,100,2018-01-05T07:55,2018-01-05T17:18,2018-01-05,VISEU,40.661,-7.910
2018-01-06,7.700,-0.300,3.600,0.100,18.700,34.600,9.210,30097.910,80,40,2018-01-06T07:55,2018-01-06T17:19,2018-01-06,VISEU,40.661,-7.910
2018-01-07,8.600,-0.600,3.400,0.300,17.900,32.000,8.010,29874.020,81,63,2018-01-07T07:55,2018-01-07T17:20,2018-01-07,VISEU,40.661,-7.910
2018-01-08,8.600,0.400,4.000,0.000,12.700,24.800,9.580,30244.620,79,4,2018-01-08T07:55,2018-01-08T17:21,2018-01-08,VISEU,40.661,-7.910
2018-01-09,7.300,1.500,5.500,9.300,20.300,36.000,0.870,0.000,90,100,2018-01-09T07:55,2018-01-09T17:22,2018-01-09,VISEU,40.661,-7.910
2018-01-10,9.900,5.200,6.900,5.100,23.500,46.800,4.510,22011.050,89,73,2018-01-10T07:54,2018-01-10T17:23,2018-01-10,VISEU,40.661,-7.910
2018-01-11,8.600,2.200,6.300,1.600,16.800,39.200,6.540,27346.670,80,47,2018-01-11T07:54,2018-01-11T17:24,2018-01-11,VISEU,40.661,-7.910
2018-01-12,8.800,-0.300,4.500,0.000,10.200,16.900,6.710,20738.370,83,85,2018-01-12T07:54,2018-01-12T17:25,2018-01-12,VISEU,40.661,-7.910
2018-01-13,9.100,3.000,6.400,17.700,17.400,32.400,4.890,18629.070,90,82,2018-01-13T07:54,2018-01-13T17:26,2018-01-13,VISEU,40.661,-7.910
