time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,sunshine_duration,relative_humidity_2m_mean,cloudcover_mean,sunrise,sunset,date,zone,latitude,longitude
2018-01-01,9.600,4.200,7.100,0.300,31.600,65.500,2.020,3513.770,93,83,2018-01-01T07:54,2018-01-01T17:06,2018-01-01,BRAGANCA,41.806,-6.757
2018-01-02,11.000,7.200,9.200,0.600,21.100,42.500,1.020,0.000,98,100,2018-01-02T07:54,2018-01-02T17:07,2018-01-02,BRAGANCA,41.806,-6.757
2018-01-03,12.600,10.800,11.300,0.100,22.700,46.400,1.630,0.000,98,99,2018-01-03T07:54,2018-01-03T17:08,2018-01-03,BRAGANCA,41.806,-6.757
2018-01-04,11.800,8.000,10.100,0.200,25.500,55.800,3.710,11229.330,91,95,2018-01-04T07:54,2018-01-04T17:09,2018-01-04,BRAGANCA,41.806,-6.757
2018-01-05,8.800,2.800,6.000,9.100,25.100,55.100,2.080,0.000,91,100,2018-01-05T07:54,2018-01-05T17:10,2018-01-05,BRAGANCA,41.806,-6.757
2018-01-06,6.700,-0.400,2.300,0.000,12.600,28.400,8.400,28311.610,74,89,2018-01-06T07:54,2018-01-06T17:11,2018-01-06,BRAGANCA,41.806,-6.757
2018-01-07,7.900,-0.400,2.900,1.900,17.700,47.200,5.180,18763.060,82,87,2018-01-07T07:54,2018-01-07T17:12,2018-01-07,BRAGANCA,41.806,-6.757
2018-01-08,7.100,-1.700,2.300,0.000,11.500,29.900,8.960,29749.590,82,20,2018-01-08T07:54,2018-01-08T17:13,2018-01-08,BRAGANCA,41.806,-6.757
2018-01-09,3.900,-0.400,2.100,8.700,11.000,26.600,0.880,0.000,94,96,2018-01-09T07:53,2018-01-09T17:14,2018-01-09,BRAGANCA,41.806,-6.757
2018-01-10,6.700,2.600,4.500,7.600,27.600,64.100,3.750,14092.150,94,78,2018-01-10T07:53,2018-01-10T17:15,2018-01-10,BRAGANCA,41.806,-6.757
2018-01-11,6.500,2.000,4.000,1.300,28.300,60.100,6.380,25493.000,83,58,2018-01-11T07:53,2018-01-11T17:16,2018-01-11,BRAGANCA,41.806,-6.757
2018-01-12,5.400,-0.000,2.600,0.000,11.500,24.800,4.680,11757.880,94,87,2018-01-12T07:53,2018-01-12T17:17,2018-01-12,BRAGANCA,41.806,-6.757
